serialNumber,title,author,genre
111111,To Kill a Mockingbird,Harper Lee,Historical Fiction
111112,The Hobbit,J.R.R. Tolkien,Fantasy
111113,The Iliad,Homer,Poetry
111114,The Odyssey,Homer,Poetry
111115,The Hitchhiker's Guide to the Galaxy,Douglas Adams,Comedy
111116,So Long and Thanks for all the Fish,Douglas Adams,Comedy
111117,Batman Volume 1,Bob Kane,Comic
111118,Harry Potter 1,J.K. Rowling,Fantasy
111119,Harry Potter 2,J.K. Rowling,Fantasy
111120,Harry Potter 3,J.K. Rowling,Fantasy
111121,Harry Potter 4,J.K. Rowling,Fantasy
111122,Harry Potter 5,J.K. Rowling,Fantasy
111123,Harry Potter 6,J.K. Rowling,Fantasy
111124,Wasteland,T.S. Eliot,Poetry
111125,Biggles in the Battle,W.E. Johns,War
111126,Aeneid,Virgil,Epic
111127,Halloween,Jamie Lee Curtis,Horror
111128,To Kill a Mockingbird,Harper Lee,Historical Fiction
111129,The Hobbit,J.R.R. Tolkien,Fantasy
111130,The Iliad,Homer,Poetry
111131,The Odyssey,Homer,Poetry
111132,So Long and Thanks for all the Fish,Douglas Adams,Comedy
111133,Batman Volume 1,Bob Kane,Comic
111134,Harry Potter 1,J.K. Rowling,Fantasy
111135,Harry Potter 2,J.K. Rowling,Fantasy
111136,Harry Potter 4,J.K. Rowling,Fantasy
111137,Harry Potter 5,J.K. Rowling,Fantasy
111138,Harry Potter 6,J.K. Rowling,Fantasy
111139,Wasteland,T.S. Eliot,Poetry
111140,Aeneid,Virgil,Epic
111141,Halloween,Jamie Lee Curtis,Horror
